Time (s),Temperature (°C),Error,PI Output,P Component,I Component,D Component
0.822218656539917,23.8125,10.1875,47.168124999999996,47.168124999999996,0.0,0.0
3.6381866931915283,23.75,10.25,48.41632818220046,47.457499999999996,0.44501661147111654,0.5138115707293449
6.454142093658447,23.75,10.25,48.3475315651051,47.457499999999996,0.8900315651051044,0.0
9.270150423049927,23.75,10.25,48.792554883280964,47.457499999999996,1.3350548832809688,0.0
12.090762853622437,23.75,10.25,49.23830067934187,47.457499999999996,1.7808006793418705,0.0
14.902143478393555,23.75,10.25,49.68259850538337,47.457499999999996,2.2250985053833725,0.0
17.71814465522766,23.8125,10.1875,49.321727496589,47.168124999999996,2.6674073679801644,-0.5138048713911685
20.534193754196167,23.875,10.125,49.47196443609797,46.87875,3.107010346309912,-0.5137959102119398
23.350141763687134,23.875,10.125,50.42534761837892,46.87875,3.546597618378925,0.0
26.166194677352905,23.9375,10.0625,50.05906834155401,46.589375,3.9834880337657244,-0.5137946922117094
28.98213243484497,23.875,10.125,51.8156399571234,46.87875,4.42307303549847,0.5138169216249381
31.79818081855774,24.0,10.0,50.12965674862225,46.3,4.857248743046611,-1.0275919944243546
34.614588260650635,24.0,10.0,51.5914759133881,46.3,5.291475913388103,0.0
37.430694580078125,24.0625,9.9375,51.21978703270161,46.010625,5.7229471551124425,-0.5137851224108331
40.24617648124695,24.125,9.875,51.3589670679354,45.72125,6.1516126127195925,-0.513895544784183
43.0621874332428,24.1875,9.8125,51.495713876811095,45.431875,6.577641790636427,-0.5138029138253332
45.88219881057739,24.1875,9.8125,52.43615042800898,45.431875,7.004275428008983,0.0
48.69465494155884,24.25,9.75,52.05509829119288,45.1425,7.427053943650451,-0.5144556524575705
51.510677099227905,24.375,9.625,51.38108917903359,44.56375,7.8449431796330185,-1.0276040005994294
54.326157331466675,24.3125,9.6875,53.63248987750303,44.853125,8.26546981140523,0.5138950660978054
57.14214301109314,24.375,9.625,52.73329616132775,44.56375,8.68335416485528,-0.5138080035275315
59.95814275741577,24.375,9.625,53.664990888810244,44.56375,9.101240888810246,0.0
62.77417492866516,24.5,9.5,52.471108379321784,43.985,9.513705680788927,-1.027597301467145
65.59058046340942,24.5,9.5,53.91122072434736,43.985,9.926220724347358,0.0
68.40677642822266,24.5625,9.4375,53.51785262310419,43.695625,10.335996042716713,-0.5137684196125263
71.2221748828888,24.625,9.375,53.63528416040092,43.40625,10.742944893061356,-0.5139107326604357
74.03814363479614,24.625,9.375,54.55622255729555,43.40625,11.149972557295547,0.0
76.85419344902039,24.6875,9.3125,54.15737776546965,43.116875,11.554298719181702,-0.5137959537120549
79.67066216468811,24.75,9.25,54.26974521250094,42.8275,11.955968270357744,-0.5137230578568015
82.48618459701538,24.875,9.125,53.57305590429877,42.24875,12.35208245940004,-1.0277765551012694
85.30213022232056,24.875,9.125,54.99700283248749,42.24875,12.748252832487488,0.0
88.11859250068665,24.875,9.125,55.39324310858992,42.24875,13.144493108589918,0.0
90.93818426132202,24.9375,9.0625,54.98469207034422,41.959375,13.538463172257341,-0.5131461019131299
93.75017714500427,25.0625,8.9375,54.277498549024145,41.380625,13.925948511800803,-1.0290749627766589
96.56658792495728,25.0625,8.9375,55.694664570949186,41.380625,14.314039570949184,0.0
99.38265085220337,25.125,8.875,55.276830375701465,41.09125,14.69937302342576,-0.5137926477243047
102.19860124588013,25.125,8.875,56.17593960943131,41.09125,15.084689609431306,0.0
105.01466464996338,25.1875,8.8125,55.75539202600169,40.801875,15.467309543227342,-0.513792517225661
107.83067440986633,25.25,8.75,55.84590412440756,40.512499999999996,15.847207690753189,-0.5138035663456209
110.64658999443054,25.25,8.75,56.73959300474494,40.512499999999996,16.227093004744944,0.0
113.46217966079712,25.375,8.625,55.507511134367064,39.933749999999996,16.601511754733902,-1.0277506203668303
116.27859783172607,25.375,8.625,56.90978389393419,39.933749999999996,16.97603389393419,0.0
119.09467315673828,25.4375,8.5625,56.47838491824789,39.644375,17.34780065199874,-0.513790733750842
121.91020464897156,25.5,8.5,56.55789807128309,39.355,17.71678482578688,-0.5138867545037877
124.72617530822754,25.5625,8.4375,56.634925587397646,39.065625,18.08311059203229,-0.5138100046346445
127.54266285896301,25.625,8.375,56.709316590400846,38.77625,18.446786560644092,-0.5137199702432449
130.3586447238922,25.625,8.375,57.586649387624874,38.77625,18.810399387624877,0.0
133.17465209960938,25.75,8.25,56.33848334483477,38.1975,19.168589433493285,-1.027606088658516
135.99016070365906,25.75,8.25,57.72421770471112,38.1975,19.526717704711125,0.0
138.8061707019806,25.8125,8.1875,57.276517543654805,37.908125,19.88219476146033,-0.5138022178055197
141.6228151321411,25.875,8.125,57.34009309948831,37.61875,20.2350344132301,-0.5136913137417971
144.4386396408081,25.9375,8.0625,57.4005986817356,37.329375,20.585060659334886,-0.5138369775992839
147.25413823127747,25.9375,8.0625,58.26442352545332,37.329375,20.93504852545332,0.0
150.07016849517822,26.0,8.0,57.808588063649,37.04,21.282387062387407,-0.5137989987384114
152.88664531707764,26.0625,7.9375,57.86396679247132,36.750625,21.627063719648426,-0.5137219271771075
155.70265078544617,26.1875,7.8125,57.110525667208215,36.171875,21.966258321916616,-1.0276076547084
158.5181736946106,26.125,7.875,59.28324861453635,36.46125,22.30811020643842,0.5138884080979274
161.33458042144775,26.1875,7.8125,58.305489573558994,36.171875,22.647349982241177,-0.513735408682187
164.1506688594818,26.25,7.75,58.35255304419481,35.8825,22.98384125500242,-0.5137882108076105
166.9705958366394,26.25,7.75,59.20329002188778,35.8825,23.320790021887785,0.0
169.7826578617096,26.3125,7.6875,58.73269198511256,35.593125,23.65409059387974,-0.5145236087671842
172.5981948375702,26.375,7.625,58.77495620836561,35.30375,23.985091831469017,-0.5138856231034028
175.41416764259338,26.5,7.5,58.008094725528984,34.725,24.31071473479827,-1.027620009269289
178.2305839061737,26.4375,7.5625,60.16720805398034,35.014375,24.639100950506798,0.5137321034735347
181.04615139961243,26.5,7.5,59.17579671278543,34.725,24.96467841954135,-0.5138817067559244
183.86216807365417,26.5625,7.4375,59.20941710399687,34.435625,25.287593321277207,-0.5138012172803416
186.67865371704102,26.6875,7.3125,58.434565670256575,33.856875,25.605131132590373,-1.027440462333797
189.49456691741943,26.6875,7.3125,59.779481205704066,33.856875,25.922606205704064,0.0
192.3101818561554,26.75,7.25,59.29096720735775,33.5675,26.23733786163275,-0.5138706542749947
195.12613558769226,26.75,7.25,60.119604163049104,33.5675,26.552104163049098,0.0
197.94266366958618,26.8125,7.1875,59.62863181907463,33.278124999999996,26.864218918245587,-0.5137120991709596
200.75864815711975,26.875,7.125,59.64850394735464,32.988749999999996,27.173561907380016,-0.5138079600253761
203.5745861530304,26.875,7.125,60.47164944881017,32.988749999999996,27.482899448810176,0.0
206.39016890525818,27.0,7.0,59.169021870905745,32.41,27.786774841010025,-1.0277529701042836
209.20617294311523,26.9375,7.0625,61.306585746677754,32.699374999999996,28.093406527810195,0.513804218867566
212.02258729934692,27.0625,6.9375,59.48781316757852,32.120625,28.39465315733373,-1.027464989755205
214.83860182762146,27.0625,6.9375,60.81648283663962,32.120625,28.69585783663962,0.0
217.65417671203613,27.25,6.75,58.699745643711914,31.252499999999998,28.988879667826268,-1.5416340241143494
220.4703390598297,27.1875,6.8125,61.340324505104,31.541875,29.284673212693203,0.5137762924107976
223.28657007217407,27.1875,6.8125,61.12234731692029,31.541875,29.58047231692029,0.0
226.10217308998108,27.3125,6.6875,59.806163025278316,30.963124999999998,29.870783859176168,-1.0277458338978458
228.91813230514526,27.3125,6.6875,61.12425437468697,30.963124999999998,30.161129374686976,0.0
231.7346420288086,27.375,6.625,60.60885043495342,30.67375,30.44881588256212,-0.513715447608696
234.55064606666565,27.4375,6.5625,60.60430977724175,30.384375,30.73373908311237,-0.5138043058706172
237.36667227745056,27.5,6.5,60.59715055641307,30.095,31.015950903674685,-0.5138003472616149
240.18258142471313,27.5,6.5,61.39315082530399,30.095,31.298150825303996,0.0
242.99858808517456,27.5,6.5,61.67536059103048,30.095,31.580360591030487,0.0
245.81475639343262,27.5625,6.4375,61.15172385370249,29.805625,31.859873058275877,-0.513774204573383
248.63017010688782,27.6875,6.3125,60.332946756334444,29.226875,32.13388695487743,-1.0278151985429853
251.44658517837524,27.6875,6.3125,61.63486838985224,29.226875,32.40799338985224,0.0
254.26262044906616,27.75,6.25,61.10305548151588,28.9375,32.679352609733826,-0.513797128217945
257.0781831741333,27.8125,6.1875,61.08219751370945,28.648125,32.94795408992149,-0.5138815762120365
259.89413475990295,27.8125,6.1875,61.864715665207015,28.648125,33.216590665207015,0.0
262.7106685638428,27.875,6.125,61.327606334311184,28.35875,33.48256730285069,-0.513710968539504
265.52659130096436,27.875,6.125,62.10723738288447,28.35875,33.74848738288447,0.0
268.34265637397766,28.0,6.0,60.7614107369999,27.78,34.0089948144623,-1.0275840774624032
271.1585919857025,28.0,6.0,62.04948923330523,27.78,34.26948923330523,0.0
273.9745783805847,28.0,6.0,62.309988835186644,27.78,34.52998883518664,0.0
276.7901384830475,28.0,6.0,62.57045114124653,27.78,34.79045114124653,0.0
279.60617423057556,28.1875,5.8125,60.41329564186646,26.911875,35.04281476704518,-1.5413941251787162
282.42265701293945,28.125,5.875,63.012901043639566,27.201249999999998,35.29793042108669,0.5137206225528758
285.2385892868042,28.1875,5.8125,61.948340387246105,26.911875,35.5502839620158,-0.5138185747696884
288.05417346954346,28.25,5.75,61.90852005277292,26.6225,35.79989610268787,-0.5138760499149501
290.8782775402069,28.25,5.75,62.672760787463005,26.6225,36.050260787463,0.0
293.6866617202759,28.3125,5.6875,62.11444781239986,26.333125,36.29652447988974,-0.5152016674898732
296.5026202201843,28.3125,5.6875,62.87657852994707,26.333125,36.543453529947065,0.0
