Time (s),Temperature (°C),Error,PI Output,P Component,I Component
0.8188149929046631,23.9375,8.0625,72.5625,72.5625,0.0
6.642780780792236,23.8125,8.1875,75.11658050002322,73.6875,1.429080500023216
12.46673846244812,23.9375,8.0625,75.39884090319157,72.5625,2.8363409031915663
18.291264295578003,23.875,8.125,77.37964510872692,73.125,4.254645108726919
24.11473321914673,23.875,8.125,78.79770065864057,73.125,5.672700658640563
29.939197301864624,23.9375,8.0625,79.64257858585462,72.5625,7.080078585854619
35.762781381607056,24.0,8.0,80.47634704979048,72.0,8.476347049790473
41.586806297302246,24.125,7.875,80.72589672888681,70.875,9.850896728886813
47.41073942184448,24.125,7.875,82.10042530670955,70.875,11.225425306709559
53.23478317260742,24.25,7.75,82.32816210848942,69.75,12.578162108489424
59.0587682723999,24.3125,7.6875,83.10747551556543,69.1875,13.919975515565426
64.88326263427734,24.375,7.625,83.87599205251381,68.625,15.250992052513809
70.70676898956299,24.5625,7.4375,83.48656673655331,66.9375,16.54906673655331
76.53076195716858,24.625,7.375,84.21133662219196,66.375,17.836336622191965
82.3547739982605,24.875,7.125,83.20497446613462,64.125,19.07997446613461
88.17876625061035,25.0,7.0,83.30178975073724,63.0,20.30178975073725
94.002765417099,25.1875,6.8125,82.80337934923679,61.3125,21.490879349236785
99.83075833320618,25.3125,6.6875,82.84645104359731,60.1875,22.658951043597312
105.65076875686646,25.5,6.5,82.29271803484306,58.5,23.79271803484306
111.47476196289062,25.75,6.25,81.13362507485792,56.25,24.88362507485792
117.29877042770386,25.875,6.125,81.07771642494635,55.125,25.95271642494634
123.1227695941925,26.0625,5.9375,80.42657866449639,53.4375,26.989078664496393
128.94677066802979,26.25,5.75,79.74271429172023,51.75,27.99271429172024
134.77076864242554,26.5625,5.4375,77.87930399933026,48.9375,28.941803999330254
140.59526133537292,26.6875,5.3125,77.68165109306887,47.8125,29.86915109306887
146.41878247261047,26.9375,5.0625,76.31521688475027,45.5625,30.752716884750278
152.2432587146759,27.125,4.875,75.47869195362792,43.875,31.603691953627916
158.06676816940308,27.3125,4.6875,74.60930671920866,42.1875,32.42180671920866
