Time (s),Temperature (°C),Error,PI Output,P Component,I Component
0.7959349155426025,30.1875,1.8125,100,181.25,0.0
3.6119093894958496,30.25,1.75,8.785117748661037,175.0,0.24639739096164703
6.427853584289551,30.1875,1.8125,100,181.25,0.5015920095145703
9.24386477470398,30.1875,1.8125,100,181.25,0.7567929804325104
12.059864521026611,30.1875,1.8125,100,181.25,1.0119931302964689
14.875871419906616,30.25,1.75,9.799199809139822,175.0,1.2583936087787153
17.691871166229248,30.1875,1.8125,100,181.25,1.5135935857892038
20.507883310317993,30.25,1.75,10.301124890981441,175.0,1.7599945440888405
23.32389497756958,30.3125,1.6875,4.28913510313339,168.75,1.997596051543951
26.139854431152344,30.3125,1.6875,100,168.75,2.2351924896240236
28.955875873565674,30.25,1.75,100,175.0,2.4815941572189333
31.771855115890503,30.3125,1.6875,5.008504777591014,168.75,2.719192486256361
34.58789539337158,30.375,1.625,0,162.5,2.94799614623189
37.40384578704834,30.375,1.625,100,162.5,3.176791825145483
40.219895362854004,30.4375,1.5625,0,156.25,3.3967959590256216
43.03643727302551,30.4375,1.5625,100,156.25,3.6168380163609983
45.8559193611145,30.5,1.5,0,150.0,3.828299387544394
48.66785287857056,30.4375,1.5625,100,156.25,4.047981432825327
51.483855962753296,30.4375,1.5625,100,156.25,4.267981599271297
54.29985427856445,30.5,1.5,0,150.0,4.479181616008282
57.11584949493408,30.5,1.5,100,150.0,4.690381257236004
59.931902170181274,30.5625,1.4375,0,143.75,4.892785231769086
62.74785566329956,30.5625,1.4375,100,143.75,5.095181666314602
65.56391143798828,30.625,1.375,0,137.5,5.288785828649998
68.37985372543335,30.625,1.375,100,137.5,5.482381516695023
71.1958577632904,30.625,1.375,100,137.5,5.67598182708025
74.01301670074463,30.6875,1.3125,0,131.25,5.860856536775827
76.82789897918701,30.75,1.25,0,125.0,6.036788124591112
79.64385175704956,30.75,1.25,100,125.0,6.212785039097071
82.4598639011383,30.75,1.25,100,125.0,6.388785768300295
