Time (s),Temperature (°C),Error,PI Output,P Component,I Component
0.8154251575469971,24.0625,7.9375,36.75062500000001,0.36750625000000003,0.0
6.639340877532959,24.0625,7.9375,52.14431173786521,0.36750625000000003,0.1539368673786521
12.463345766067505,24.0625,7.9375,67.53825054973363,0.36750625000000003,0.3078762554973364
18.291338682174683,24.0625,7.9375,82.94272857567668,0.36750625000000003,0.4619210357567668
24.111875295639038,24.1875,7.8125,97.5064174977541,0.36171875000000003,0.613345424977541
29.935380935668945,24.125,7.875,100,0.3646125,0.7660601562103629
35.759385108947754,24.25,7.75,100,0.358825,0.9163631623712182
41.58384108543396,24.25,7.75,100,0.358825,1.0666770839318633
47.40738248825073,24.5,7.5,100,0.34725,1.2121208045527339
53.23138189315796,24.5625,7.4375,100,0.34435625000000003,1.3563630698141456
59.05537271499634,24.75,7.25,100,0.335675,1.4969687739863993
64.87988257408142,24.9375,7.0625,100,0.32699375,1.6339498931649328
70.70339512825012,25.125,6.875,100,0.3183125,1.7672723157826067
76.52740120887756,25.375,6.625,100,0.3067375,1.89575720148772
82.35137557983398,25.5625,6.4375,100,0.29805625,2.0206050069701673
88.17537593841553,25.9375,6.0625,100,0.28069375,2.1381806493960323
93.9993736743927,26.125,5.875,100,0.2720125,2.25211989909634
99.82337188720703,26.375,5.625,100,0.2604375,2.3612106611542405
105.64736914634705,26.8125,5.1875,100,0.24018125,2.4618165614520016
111.47185516357422,27.0625,4.9375,100,0.22860625,2.5575817306427657
117.29537558555603,27.4375,4.5625,100,0.21124375,2.6460594868952034
123.11936807632446,27.75,4.25,100,0.196775,2.728483540620804
128.94338083267212,28.1875,3.8125,100,0.17651875,2.8024230165168644
134.7673692703247,28.5,3.5,100,0.16205,2.8703016073152425
140.59181952476501,28.8125,3.1875,100,0.14758125,2.932124331868887
146.415372133255,29.25,2.75,100,0.127325,2.985453669896722
152.23936533927917,29.5625,2.4375,100,0.11285625,3.0327262947508693
158.06336736679077,29.9375,2.0625,100,0.09549375,3.072726267038584
163.88736534118652,30.3125,1.6875,100,0.07813125,3.1054534969957173
169.7113754749298,30.75,1.25,100,0.057875,3.1296959352077542
175.53538131713867,31.0625,0.9375,100,0.04340625,3.1478777556793394
181.35937571525574,31.4375,0.5625,100,0.02604375,3.1587868256329
187.1838412284851,31.8125,0.1875,100,0.00868125,3.162423465718478
193.00737071037292,32.1875,-0.1875,100,-0.00868125,3.1587873895244303
198.8313753604889,32.5625,-0.5625,100,-0.02604375,3.147878299921006
204.65537977218628,32.8125,-0.8125,100,-0.03761875,3.132120727339536
210.47937488555908,33.3125,-1.3125,100,-0.06076875,3.1066662276551127
216.30336689949036,33.5625,-1.5625,100,-0.07234375,3.0763632692076266
222.12737894058228,33.9375,-1.9375,100,-0.08970625,3.0387874730582536
227.95136952400208,34.25,-2.25,100,-0.104175,2.995151223611981
233.77537488937378,34.5,-2.5,100,-0.11575,2.946666374975592
239.59937596321106,34.875,-2.875,100,-0.1331125,2.890908849260062
245.42383790016174,35.125,-3.125,100,-0.1446875,2.830298218382746
251.24736762046814,35.5,-3.5,100,-0.16205,2.7624247849787773
257.0713758468628,35.75,-3.75,100,-0.173625,2.689697485228926
262.8953776359558,36.125,-4.125,100,-0.1909875,2.6096975406534972
268.7198805809021,36.4375,-4.4375,100,-0.20545625,2.5236298670223354
274.5434069633484,36.625,-4.625,100,-0.2141375,2.433939983897209
280.36843180656433,37.0,-5.0,100,-0.2315,2.3369544674921037
286.19138264656067,37.1875,-5.1875,100,-0.24018125,2.2363654325826468
292.01536750793457,37.5625,-5.5625,100,-0.25754375,2.1284870418298243
297.83941864967346,37.75,-5.75,100,-0.266225,2.016971018028259
303.66337394714355,38.0625,-6.0625,100,-0.28069375,1.899396290114969
309.48738169670105,38.25,-6.25,100,-0.289375,1.7781841337893904
315.3113718032837,38.5,-6.5,100,-0.30095,1.6521238524506987
321.135883808136,38.8125,-6.8125,100,-0.31541875,1.5199915575425327
326.9597945213318,39.0,-7.0,100,-0.3241,1.3842361321274936
332.7834074497223,39.3125,-7.3125,90.38584772810339,-0.33856875000000003,1.242427227281034
338.60737681388855,39.5625,-7.5625,74.56176927623153,-0.35014375000000003,1.0957614427623152
344.4313769340515,39.75,-7.75,58.66335596612095,-0.358825,0.9454585596612096
350.2553782463074,39.875,-7.875,42.811890524894004,-0.3646125,0.79273140524894
