Time (s),Temperature (°C),Error,PI Output,P Component,I Component
0.8145241737365723,33.375,-3.375,0,-50.625,0.0
6.638489484786987,33.4375,-3.4375,0,-51.5625,-0.9099942073225975
12.462984085083008,33.3125,-3.3125,0,-49.6875,-1.7869740717790343
18.286433219909668,33.375,-3.375,0,-50.625,-2.680347328158942
24.110434532165527,33.3125,-3.3125,0,-49.6875,-3.5572567243467677
29.93444037437439,33.375,-3.375,0,-50.625,-4.450712202624842
35.75849223136902,33.25,-3.25,0,-48.75,-5.311083851890131
41.58246040344238,33.25,-3.25,0,-48.75,-6.171442258087072
47.406901121139526,33.25,-3.25,0,-48.75,-7.031868429346519
53.23046851158142,33.125,-3.125,0,-46.875,-7.859083262356845
59.054484605789185,33.1875,-3.1875,0,-47.8125,-8.702903741462665
64.87847805023193,33.0,-3.0,0,-45.0,-9.49708453565836
70.70298290252686,33.0625,-3.0625,0,-45.9375,-10.307879696515474
76.52695655822754,32.9375,-2.9375,0,-44.0625,-11.08551266992634
82.35088038444519,32.9375,-2.9375,0,-44.0625,-11.863138003105467
88.174471616745,32.875,-2.875,0,-43.125,-12.62417851591652
93.99895477294922,32.75,-2.75,0,-41.25,-13.352236585860902
99.82242226600647,32.75,-2.75,0,-41.25,-14.080172108655626
105.64648675918579,32.625,-2.625,0,-39.375,-14.77508903701197
111.47089147567749,32.625,-2.625,0,-39.375,-15.470043914561922
117.29447317123413,32.5,-2.5,0,-37.5,-16.13181705434214
123.11843013763428,32.5,-2.5,0,-37.5,-16.793630020862278
128.9435179233551,32.375,-2.375,0,-35.625,-17.422469989142634
134.76647281646729,32.3125,-2.3125,0,-34.6875,-18.034546789120544
140.590434551239,32.3125,-2.3125,0,-34.6875,-18.64672438461672
146.41446661949158,32.1875,-2.1875,0,-32.8125,-19.22581867196343
152.2389419078827,32.125,-2.125,0,-31.875,-19.788408399982888
158.06246900558472,32.0,-2.0,0,-30.0,-20.317821688272737
163.8864381313324,32.0,-2.0,0,-30.0,-20.84727308018641
169.7109775543213,31.75,-1.75,0,-26.25,-21.310587312687527
175.53444123268127,31.75,-1.75,0,-26.25,-21.77381874349984
181.3584339618683,31.75,-1.75,0,-26.25,-22.23709091137756
187.18247389793396,31.625,-1.625,0,-24.375,-22.667275908318434
193.00695967674255,31.5625,-1.5625,0,-23.4375,-23.080945367840204
198.8304762840271,31.375,-1.375,0,-20.625,-23.444916332987223
204.65445804595947,31.4375,-1.4375,0,-21.5625,-23.825460642576218
210.4784722328186,31.3125,-1.3125,0,-19.6875,-24.17291600595821
216.30246663093567,31.25,-1.25,0,-18.75,-24.50382476503199
222.12646985054016,31.125,-1.125,0,-16.875,-24.801643135872755
227.95047760009766,31.0625,-1.0625,0,-15.9375,-25.082916237413883
233.77446699142456,31.0,-1.0,0,-15.0,-25.34764306044037
239.5984706878662,30.9375,-0.9375,0,-14.0625,-25.595824995501477
245.4224762916565,30.875,-0.875,0,-13.125,-25.827461600980975
251.24646854400635,30.75,-0.75,0,-11.25,-26.026006791401993
257.07047057151794,30.6875,-0.6875,0,-10.3125,-26.20800684731115
262.89446687698364,30.625,-0.625,0,-9.375,-26.373461287807334
268.71847653388977,30.5625,-0.5625,0,-8.4375,-26.52237061953003
274.54247307777405,30.5,-0.5,0,-7.5,-26.654734171926975
280.36646914482117,30.375,-0.375,0,-5.625,-26.754006836224686
286.1904308795929,30.375,-0.375,0,-5.625,-26.853278866545722
292.0144717693329,30.25,-0.25,0,-3.75,-26.919461187313903
297.8388772010803,30.25,-0.25,0,-3.75,-26.985647341744468
303.6629524230957,30.125,-0.125,0,-1.875,-27.018738708035514
309.48697447776794,30.0,0.0,0,0.0,-27.018738708035514
315.3109073638916,30.0,0.0,0,0.0,-27.018738708035514
321.1344723701477,29.875,0.125,0,1.875,-26.985650136389516
326.95871591567993,29.875,0.125,0,1.875,-26.952557862482287
