Time (s),Temperature (°C),Error,PI Output,P Component,I Component
0.8068780899047852,36.0625,-6.0625,0,-57.59375,0.0
6.630841493606567,35.9375,-5.9375,0,-56.40625,-1.1608049039179362
12.454843282699585,35.8125,-5.8125,0,-55.21875,-2.2971798578283815
18.279254913330078,35.8125,-5.8125,0,-55.21875,-3.433629243828804
24.10281729698181,35.6875,-5.6875,0,-54.03125,-4.5454873232559265
29.92680263519287,35.6875,-5.6875,0,-54.03125,-5.657420327985666
35.75083827972412,35.5,-5.5,0,-52.25,-6.732706677208099
41.57485604286194,35.4375,-5.4375,0,-51.65625,-7.795770164276392
47.398834466934204,35.375,-5.375,0,-51.0625,-8.846608035003129
53.2233612537384,35.25,-5.25,0,-49.875,-9.873100465657224
59.04682779312134,35.1875,-5.1875,0,-49.28125,-10.887194636537835
64.87083196640015,35.0625,-5.0625,0,-48.09375,-11.876940766724598
70.695317029953,35.0,-5.0,0,-47.5,-12.854545962578838
76.51883172988892,34.9375,-4.9375,0,-46.90625,-13.819775593944238
82.34282946586609,34.875,-4.875,0,-46.3125,-14.772863562663117
88.1673047542572,34.75,-4.75,0,-45.125,-15.701586864019873
93.99129104614258,34.625,-4.625,0,-43.9375,-16.60579667585267
99.8148307800293,34.5625,-4.5625,0,-43.34375,-17.497721890415406
105.63883018493652,34.4375,-4.4375,0,-42.15625,-18.365276465541275
111.46282625198364,34.375,-4.375,0,-41.5625,-19.220611647008376
117.28682279586792,34.25,-4.25,0,-40.375,-20.051508476345575
123.11082983016968,34.1875,-4.1875,0,-39.78125,-20.870188111472256
128.9353063106537,34.0,-4.0,0,-38.0,-21.652271083644973
134.75933599472046,33.9375,-3.9375,0,-37.40625,-22.422076843731606
140.5828230381012,33.8125,-3.8125,0,-36.21875,-23.167377532423597
146.406831741333,33.6875,-3.6875,0,-35.03125,-23.8883043162709
152.23082852363586,33.625,-3.625,0,-34.4375,-24.59701058047399
158.05482506752014,33.5,-3.5,0,-33.25,-25.281278837695982
163.8787944316864,33.5,-3.5,0,-33.25,-25.96554336931175
169.7028284072876,33.25,-3.25,0,-30.875,-26.600939640308017
175.5268259048462,33.1875,-3.1875,0,-30.28125,-27.224112593953897
181.35083317756653,33.0625,-3.0625,0,-29.09375,-27.822848323956396
187.17480659484863,32.9375,-2.9375,0,-27.90625,-28.39714249894813
192.99882578849792,32.8125,-2.8125,0,-26.71875,-28.947002923293798
198.82282090187073,32.6875,-2.6875,0,-25.53125,-29.47242297713938
204.64683270454407,32.625,-2.625,0,-24.9375,-29.98562543059933
210.47131824493408,32.4375,-2.4375,0,-23.15625,-30.46220790505304
216.29478454589844,32.4375,-2.4375,0,-23.15625,-30.93870963419495
222.1188292503357,32.25,-2.25,0,-21.375,-31.378600080579837
227.94330763816833,32.125,-2.125,0,-20.1875,-31.794081778597917
233.7667851448059,32.125,-2.125,0,-20.1875,-32.209494341809844
239.59132766723633,31.9375,-1.9375,0,-18.40625,-32.588320169847975
245.4147913455963,31.9375,-1.9375,0,-18.40625,-32.96707773745692
251.2388207912445,31.75,-1.75,0,-16.625,-33.309213924955564
257.0628297328949,31.6875,-1.6875,0,-16.03125,-33.6391296663417
262.8868236541748,31.625,-1.625,0,-15.4375,-33.95682544782495
268.7108280658722,31.4375,-1.4375,0,-13.65625,-34.23786450696076
274.5352602005005,31.4375,-1.4375,0,-13.65625,-34.51892297496433
280.35931158065796,31.25,-1.25,0,-11.875,-34.7633071065265
286.18278312683105,31.25,-1.25,0,-11.875,-35.00766714770255
292.0068373680115,31.0625,-1.0625,0,-10.09375,-35.21539358299739
297.8307876586914,31.0625,-1.0625,0,-10.09375,-35.42311609810212
303.65481901168823,30.875,-0.875,0,-8.3125,-35.59418426188164
309.47882413864136,30.8125,-0.8125,0,-7.71875,-35.75303244524942
315.30281805992126,30.75,-0.75,0,-7.125,-35.89966124946469
321.12682938575745,30.625,-0.625,0,-5.9375,-36.021852294805825
326.9508390426636,30.5625,-0.5625,0,-5.34375,-36.131824213103144
332.77482509613037,30.4375,-0.4375,0,-4.15625,-36.217357587687964
338.5988368988037,30.375,-0.375,0,-3.5625,-36.29067222689782
344.4228205680847,30.3125,-0.3125,0,-2.96875,-36.35176745444115
350.2467930316925,30.3125,-0.3125,0,-2.96875,-36.412862544425174
356.07124423980713,30.1875,-0.1875,0,-1.78125,-36.449522557691424
361.894832611084,30.0,0.0,0,0.0,-36.449522557691424
367.71931076049805,30.0625,-0.0625,0,-0.59375,-36.46174260713292
373.54283332824707,29.875,0.125,0,1.1875,-36.4373063789187
379.36723041534424,29.8125,0.1875,0,1.78125,-36.40064671980514
385.1908233165741,29.75,0.25,0,2.375,-36.35177369713257
391.01483631134033,29.6875,0.3125,0,2.96875,-36.290678156954456
396.83929991722107,29.625,0.375,0,3.5625,-36.217358049387016
402.6633188724518,29.5625,0.4375,0,4.15625,-36.13182421610444
408.4873104095459,29.5,0.5,0,4.75,-36.03407170397128
414.31079936027527,29.4375,0.5625,0,5.34375,-35.92410927576543
420.134827375412,29.375,0.625,0,5.9375,-35.80191787527117
425.9588210582733,29.25,0.75,0,7.125,-35.655289053048136
431.7827875614166,29.25,0.75,0,7.125,-35.50866101116153
437.60731840133667,29.1875,0.8125,0,7.71875,-35.349798872777306
443.4313144683838,29.0625,0.9375,0,8.90625,-35.1665127774694
449.2552490234375,29.0625,0.9375,0,8.90625,-34.98322876806078
455.07882595062256,28.9375,1.0625,0,10.09375,-34.77551868531603
460.9028248786926,29.0,1.0,0,9.5,-34.58001339693584
466.72682452201843,28.8125,1.1875,0,11.28125,-34.34785085748026
472.5513060092926,28.875,1.125,0,10.6875,-34.12788986849069
478.3748254776001,28.75,1.25,0,11.875,-33.883527736413185
484.1988191604614,28.6875,1.3125,0,12.46875,-33.62692725550476
490.02282333374023,28.625,1.375,0,13.0625,-33.35810729690133
495.8468270301819,28.5625,1.4375,0,13.65625,-33.07706822626056
501.670782327652,28.5625,1.4375,0,13.65625,-32.796031640691176
