Time (s),Temperature (°C),Error,PI Output,P Component,I Component
0.8027422428131104,40.25,-13.25,0,-6.13475,0.0
6.627215385437012,40.125,-13.125,0,-6.076875,-0.483902409620583
12.454712629318237,40.0625,-13.0625,0,-6.047937500000001,-0.9657546525093913
18.27470850944519,39.9375,-12.9375,0,-5.9900625000000005,-1.4423794604641198
24.09870481491089,39.8125,-12.8125,0,-5.9321875,-1.9147237414893508
29.923232793807983,39.75,-12.75,0,-5.90325,-2.3848051400354504
35.74670052528381,39.625,-12.625,0,-5.845375000000001,-2.85019663416177
41.570716857910156,39.5,-12.5,0,-5.7875000000000005,-3.3110219076159595
47.39557909965515,39.3125,-12.3125,0,-5.7006875,-3.7649995412975548
53.21871256828308,39.1875,-12.1875,0,-5.642812500000001,-4.2142375441767275
59.042699337005615,39.0625,-12.0625,0,-5.5849375000000006,-4.658931657485067
64.86669540405273,38.875,-11.875,0,-5.498125,-5.096714108085036
70.69070649147034,38.75,-11.75,0,-5.440250000000001,-5.529889545938373
76.5192198753357,38.5,-11.5,0,-5.3245000000000005,-5.954174876040816
82.33917045593262,38.375,-11.375,0,-5.266625,-6.3732331941595675
88.16270279884338,38.1875,-11.1875,0,-5.179812500000001,-6.785638805566281
93.98715662956238,38.125,-11.125,0,-5.150875,-7.195802966401129
99.8106997013092,37.875,-10.875,0,-5.035125,-7.596689540901929
105.63518071174622,37.75,-10.75,0,-4.977250000000001,-7.993029630780368
111.4586992263794,37.625,-10.625,0,-4.9193750000000005,-8.384698866550773
117.28318381309509,37.3125,-10.3125,0,-4.774687500000001,-8.764909147762657
123.10721802711487,37.1875,-10.1875,0,-4.7168125000000005,-9.14048294486761
128.93119144439697,36.9375,-9.9375,0,-4.6010625,-9.506836322703212
134.75469279289246,36.8125,-9.8125,0,-4.5431875,-9.868553374613821
140.57920098304749,36.625,-9.625,0,-4.456375,-10.223417698236107
146.40718626976013,36.5,-9.5,0,-4.3985,-10.573883536103367
152.22669434547424,36.3125,-9.3125,0,-4.311687500000001,-10.916933707772344
158.0506935119629,36.125,-9.125,0,-4.224875,-11.253335179627687
163.87469387054443,36.0,-9.0,0,-4.167,-11.585128480056076
169.69919967651367,35.75,-8.75,0,-4.0512500000000005,-11.907732344594747
175.52270770072937,35.625,-8.625,0,-3.9933750000000003,-12.225674968751818
181.3471930027008,35.4375,-8.4375,0,-3.9065625,-12.53675604425624
187.17118382453918,35.3125,-8.3125,0,-3.8486875,-12.84320364676997
192.9946985244751,35.125,-8.125,0,-3.7618750000000003,-13.142715121008306
198.81916856765747,34.875,-7.875,0,-3.646125,-13.433056828247755
204.6426911354065,34.8125,-7.8125,0,-3.6171875,-13.721049113812297
210.46670770645142,34.625,-7.625,0,-3.5303750000000003,-14.00215248458907
216.29118156433105,34.5,-7.5,0,-3.4725,-14.278668622624128
222.11518788337708,34.25,-7.25,0,-3.3567500000000003,-14.545946810737698
227.93869876861572,34.125,-7.125,0,-3.2988750000000002,-14.808595237523763
233.76269507408142,33.9375,-6.9375,0,-3.2120625,-15.064352405750602
239.58669757843018,33.8125,-6.8125,0,-3.1541875000000004,-15.315501593745946
245.41119027137756,33.6875,-6.6875,0,-3.0963125000000002,-15.56206250313118
251.2347002029419,33.4375,-6.4375,0,-2.9805625,-15.79936765095055
257.05916595458984,33.375,-6.375,0,-2.951625,-16.034405983437
262.8826975822449,33.1875,-6.1875,0,-2.8648125,-16.26249620043799
268.7071735858917,33.125,-6.125,0,-2.835875,-16.488317713166623
274.53517389297485,32.875,-5.875,0,-2.7201250000000003,-16.705053741853682
280.3551695346832,32.8125,-5.8125,0,-2.6911875000000003,-16.91918957777068
286.17870330810547,32.625,-5.625,0,-2.604375,-17.126544388412384
292.0035879611969,32.4375,-5.4375,0,-2.5175625,-17.327032694977373
297.8267025947571,32.375,-5.375,0,-2.4886250000000003,-17.525157524218706
303.65070486068726,32.1875,-5.1875,0,-2.4018125,-17.71639952730909
309.4751877784729,32.0625,-5.0625,0,-2.3439375,-17.903048111489564
315.29918813705444,31.9375,-4.9375,0,-2.2860625000000003,-18.08507369211629
321.1226954460144,31.875,-4.875,0,-2.2571250000000003,-18.26478036329761
326.9472403526306,31.6875,-4.6875,0,-2.1703125,-18.437605008198467
332.77117133140564,31.5625,-4.5625,0,-2.1124375,-18.605803761051
338.5946476459503,31.5625,-4.5625,0,-2.1124375,-18.773989830485434
