Time (s),Temperature (°C),Error,PI Output,P Component,I Component
1.5919702053070068,24.375,4.625,44.0735294117647,44.0735294117647,0.0
8.183891296386719,24.375,4.625,45.09892587145719,44.0735294117647,1.0253964596924894
14.775939464569092,24.3125,4.6875,46.73378870054719,44.669117647058826,2.0646710534883614
21.3683500289917,24.3125,4.6875,47.7731155041448,44.669117647058826,3.103997857085973
27.959896087646484,24.375,4.625,48.20286995257267,44.0735294117647,4.129340540807964
34.55235266685486,24.3125,4.6875,49.83779296013105,44.669117647058826,5.16867531307222
41.14436173439026,24.3125,4.6875,50.87706071290178,44.669117647058826,6.2079430658429535
47.73633813858032,24.375,4.625,51.306879024930474,44.0735294117647,7.233349613165771
54.32840943336487,24.3125,4.6875,52.94174553764939,44.669117647058826,8.272627890590563
60.91992378234863,24.25,4.75,54.590383088599026,45.26470588235294,9.325677206246084
67.5123221874237,24.375,4.625,54.424674840808734,44.0735294117647,10.351145429044031
74.104336977005,24.25,4.75,56.668976729322466,45.26470588235294,11.404270846969526
80.6963210105896,24.375,4.625,56.5032076590552,44.0735294117647,12.429678247290497
87.28833293914795,24.3125,4.6875,58.13806421094081,44.669117647058826,13.468946563881984
93.88037896156311,24.3125,4.6875,59.17733775227128,44.669117647058826,14.50822010521245
100.47234416007996,24.375,4.625,59.60715350530551,44.0735294117647,15.533624093540809
107.06388330459595,24.3125,4.6875,61.241938865424025,44.669117647058826,16.5728212183652
113.65639472007751,24.3125,4.6875,62.28128326022913,44.669117647058826,17.61216561317031
120.2484290599823,24.4375,4.5625,62.101664577169814,43.47794117647059,18.623723400699223
126.83988118171692,24.375,4.625,63.72257991969791,44.0735294117647,19.649050507933207
133.43233156204224,24.4375,4.5625,64.13861038712687,43.47794117647059,20.660669210656287
140.0239293575287,24.5,4.5,64.5406603767117,42.88235294117647,21.658307435535225
146.61618280410767,24.5,4.5,65.53839231311036,42.88235294117647,22.6560393719339
153.2083396911621,24.5,4.5,66.53611064564191,42.88235294117647,23.65375770446544
159.79993295669556,24.5625,4.4375,66.92430387268635,42.286764705882355,24.637539166803997
166.39232778549194,24.5625,4.4375,67.90819849009125,42.286764705882355,25.621433784208904
172.98443007469177,24.6875,4.3125,67.67316253026463,41.095588235294116,26.577574294970518
179.57644748687744,24.625,4.375,69.23873526443658,41.69117647058823,27.547558793848356
186.17239809036255,24.625,4.375,70.2092981632193,41.69117647058823,28.518121692631066
192.7599380016327,24.75,4.25,69.9597556010992,40.5,29.4597556010992
199.35232973098755,24.75,4.25,70.90207655898426,40.5,30.402076558984266
205.94389295578003,24.75,4.25,71.84428522382227,40.5,31.344285223822272
212.53641319274902,24.875,4.125,71.56773320991687,39.30882352941176,32.258909680505106
219.12793159484863,24.8125,4.1875,73.09166741811899,39.904411764705884,33.187255653413104
225.72034883499146,24.875,4.125,73.41068842386497,39.30882352941176,34.10186489445321
232.32049536705017,25.0,4.0,73.10744913487491,38.11764705882353,34.98980207605138
238.90415930747986,25.0,4.0,73.99316893023396,38.11764705882353,35.87552187141043
245.49592399597168,25.0625,3.9375,74.27053523311565,37.52205882352941,36.74847640958623
252.08841514587402,25.125,3.875,74.53413544335166,36.9264705882353,37.60766485511637
258.68035554885864,25.125,3.875,75.39325413047236,36.9264705882353,38.46678354223706
265.2719247341156,25.25,3.75,75.0334393891826,35.73529411764706,39.29814527153555
271.8643362522125,25.25,3.75,75.86490164396258,35.73529411764706,40.129607526315525
278.45640110969543,25.3125,3.6875,76.08687818853912,35.13970588235294,40.947172306186175
285.04842495918274,25.4375,3.5625,75.68554692407173,33.9485294117647,41.73701751230703
291.63991951942444,25.375,3.625,77.08477535482302,34.544117647058826,42.54065770776419
298.2323799133301,25.4375,3.5625,77.27908223205577,33.9485294117647,43.33055282029106
304.8243887424469,25.5625,3.4375,76.85003591543042,32.75735294117647,44.09268297425396
311.41592049598694,25.625,3.375,77.00266828390346,32.161764705882355,44.84090357802111
318.0083417892456,25.625,3.375,77.75098539574128,32.161764705882355,45.589220689858934
324.60040044784546,25.6875,3.3125,77.88981909525847,31.566176470588236,46.323642624670235
331.19241547584534,25.75,3.25,78.01479061705018,30.970588235294116,47.04420238175606
337.78439807891846,25.8125,3.1875,78.12590176985337,30.375,47.75090176985337
344.3759243488312,25.875,3.125,78.2231098887252,29.77941176470588,48.44369812401932
350.9683313369751,25.875,3.125,78.91599449963304,29.77941176470588,49.13658273492716
357.5604057312012,26.0,3.0,78.38995663178007,28.588235294117645,49.80172133766242
364.15188813209534,26.0,3.0,79.05503646484706,28.588235294117645,50.466801170729426
370.74442195892334,26.0625,2.9375,79.11077302537161,27.99264705882353,51.118125966548085
377.33592104911804,26.1875,2.8125,78.54311079272142,26.801470588235293,51.741640204486124
383.9284267425537,26.125,2.875,79.77616294465057,27.397058823529413,52.379104121121145
390.51988649368286,26.1875,2.8125,79.8040848426794,26.801470588235293,53.002614254444104
397.1124053001404,26.3125,2.6875,79.20879997736441,25.610294117647058,53.598505859717356
403.707905292511,26.3125,2.6875,79.80496372212588,25.610294117647058,54.19466960447881
410.29635667800903,26.3125,2.6875,80.40048735291693,25.610294117647058,54.79019323526987
416.8879268169403,26.5,2.5,79.16796379990024,23.823529411764707,55.34443438813553
423.4803922176361,26.5,2.5,79.7222764201787,23.823529411764707,55.89874700841399
430.0718927383423,26.5,2.5,80.27651159905025,23.823529411764707,56.45298218728554
436.6639177799225,26.6875,2.3125,79.0024539126038,22.03676470588235,56.96568920672145
443.2563841342926,26.625,2.375,80.12463959423314,22.63235294117647,57.492286653056674
449.84840989112854,26.75,2.25,79.43231290793335,21.441176470588236,57.99113643734511
456.440434217453,26.8125,2.1875,79.32171741322867,20.845588235294116,58.47612917793456
463.03236198425293,26.8125,2.1875,79.80670285672463,20.845588235294116,58.96111462143052
469.6244077682495,26.9375,2.0625,79.0728070585579,19.65441176470588,59.41839529385202
476.2163231372833,26.9375,2.0625,79.53007820466397,19.65441176470588,59.87566643995808
482.8078896999359,26.9375,2.0625,79.98732667615461,19.65441176470588,60.33291491144873
489.40041041374207,27.0625,1.9375,79.22574661896302,18.46323529411765,60.76251132484537
495.9924125671387,27.0,2.0,80.26475531305407,19.058823529411764,61.205931783642306
502.58433985710144,27.0625,1.9375,80.09872550467306,18.46323529411765,61.6354902105554
509.1759223937988,27.1875,1.8125,79.3093746256828,17.272058823529413,62.0373158021534
515.7684154510498,27.125,1.875,80.32069946118703,17.86764705882353,62.453052402363504
522.3603303432465,27.1875,1.8125,80.12695545013798,17.272058823529413,62.85489662660858
528.9519286155701,27.25,1.75,79.91933766369587,16.676470588235293,63.24286707546058
535.5444264411926,27.3125,1.6875,79.69791253097122,16.080882352941178,63.61703017803004
542.1359236240387,27.375,1.625,79.46257684921103,15.485294117647058,63.977282731563974
548.7279233932495,27.4375,1.5625,79.21341077217592,14.88970588235294,64.32370488982298
555.3198895454407,27.4375,1.5625,79.55983100091503,14.88970588235294,64.67012511856208
561.9124245643616,27.5,1.5,79.29683413869162,14.294117647058822,65.0027164916328
568.503915309906,27.5625,1.4375,79.01993062406055,13.698529411764707,65.32140121229584
575.0958952903748,27.5625,1.4375,79.33863794917465,13.698529411764707,65.64010853740994
